lon,lat
-40.8,-5.225
-41.3,-5.225
-41.8,-5.225
-42.3,-5.225
-42.8,-5.225
-43.3,-5.225
-43.8,-5.225
-44.3,-5.225
-44.8,-5.225
-45.3,-5.225
-45.8,-5.225
-46.3,-5.225
-46.8,-5.225
-47.3,-5.225
-47.8,-5.225
-48.3,-5.225
-48.8,-5.225
-49.3,-5.225
-49.8,-5.225
-50.3,-5.225
-50.8,-5.225
-51.3,-5.225
-51.8,-5.225
-52.3,-5.225
-52.8,-5.225
-53.3,-5.225
-53.8,-5.225
-54.3,-5.225
-54.8,-5.225
-55.3,-5.225
-55.8,-5.225
-56.3,-5.225
-56.8,-5.225
-57.3,-5.225
-57.8,-5.225
-58.3,-5.225
-58.8,-5.225
-59.3,-5.225
-59.8,-5.225
-60.3,-5.225
-60.8,-5.225
-61.3,-5.225
-61.8,-5.225
-62.3,-5.225
-62.8,-5.225
-63.3,-5.225
-63.8,-5.225
-64.3,-5.225
-64.8,-5.225
-65.3,-5.225
-65.8,-5.225
-66.3,-5.225
-66.8,-5.225
-67.3,-5.225
-67.8,-5.225
-68.3,-5.225
-68.8,-5.225
-69.3,-5.225
-69.8,-5.225
-70.3,-5.225
-70.8,-5.225
-71.3,-5.225
-71.8,-5.225
-72.3,-5.225
-72.8,-5.225
-35.3,-5.725
-35.8,-5.725
-36.3,-5.725
-36.8,-5.725
-37.3,-5.725
-37.8,-5.725
-38.3,-5.725
-38.8,-5.725
-39.3,-5.725
-39.8,-5.725
-40.3,-5.725
-40.8,-5.725
-41.3,-5.725
-41.8,-5.725
-42.3,-5.725
-42.8,-5.725
-43.3,-5.725
-43.8,-5.725
-44.3,-5.725
-44.8,-5.725
-45.3,-5.725
-45.8,-5.725
-46.3,-5.725
-46.8,-5.725
-47.3,-5.725
-47.8,-5.725
-48.3,-5.725
-48.8,-5.725
-49.3,-5.725
-49.8,-5.725
-50.3,-5.725
-50.8,-5.725
-51.3,-5.725
-51.8,-5.725
-52.3,-5.725
-52.8,-5.725
-53.3,-5.725
-53.8,-5.725
-54.3,-5.725
-54.8,-5.725
-55.3,-5.725
-55.8,-5.725
-56.3,-5.725
-56.8,-5.725
-57.3,-5.725
-57.8,-5.725
-58.3,-5.725
-58.8,-5.725
-59.3,-5.725
-59.8,-5.725
-60.3,-5.725
-60.8,-5.725
-61.3,-5.725
-61.8,-5.725
-62.3,-5.725
-62.8,-5.725
-63.3,-5.725
-63.8,-5.725
-64.3,-5.725
-64.8,-5.725
-65.3,-5.725
-65.8,-5.725
-66.3,-5.725
-66.8,-5.725
-67.3,-5.725
-67.8,-5.725
-68.3,-5.725
-68.8,-5.725
-69.3,-5.725
-69.8,-5.725
-70.3,-5.725
-70.8,-5.725
-71.3,-5.725
-71.8,-5.725
-72.3,-5.725
-72.8,-5.725
-35.3,-6.225
-35.8,-6.225
-36.3,-6.225
-36.8,-6.225
-37.3,-6.225
-37.8,-6.225
-38.3,-6.225
-38.8,-6.225
-39.3,-6.225
-39.8,-6.225
-40.3,-6.225
-40.8,-6.225
-41.3,-6.225
-41.8,-6.225
-42.3,-6.225
-42.8,-6.225
-43.3,-6.225
-43.8,-6.225
-44.3,-6.225
-44.8,-6.225
-45.3,-6.225
-45.8,-6.225
-46.3,-6.225
-46.8,-6.225
-47.3,-6.225
-47.8,-6.225
-48.3,-6.225
-48.8,-6.225
-49.3,-6.225
-49.8,-6.225
-50.3,-6.225
-50.8,-6.225
-51.3,-6.225
-51.8,-6.225
-52.3,-6.225
-52.8,-6.225
-53.3,-6.225
-53.8,-6.225
-54.3,-6.225
-54.8,-6.225
-55.3,-6.225
-55.8,-6.225
-56.3,-6.225
-56.8,-6.225
-57.3,-6.225
-57.8,-6.225
-58.3,-6.225
-58.8,-6.225
-59.3,-6.225
-59.8,-6.225
-60.3,-6.225
-60.8,-6.225
-61.3,-6.225
-61.8,-6.225
-62.3,-6.225
-62.8,-6.225
-63.3,-6.225
-63.8,-6.225
-64.3,-6.225
-64.8,-6.225
-65.3,-6.225
-65.8,-6.225
-66.3,-6.225
-66.8,-6.225
-67.3,-6.225
-67.8,-6.225
-68.3,-6.225
-68.8,-6.225
-69.3,-6.225
-69.8,-6.225
-70.3,-6.225
-70.8,-6.225
-71.3,-6.225
-71.8,-6.225
-72.3,-6.225
-72.8,-6.225
-35.3,-6.725
-35.8,-6.725
-36.3,-6.725
-36.8,-6.725
-37.3,-6.725
-37.8,-6.725
-38.3,-6.725
-38.8,-6.725
-39.3,-6.725
-39.8,-6.725
-40.3,-6.725
-40.8,-6.725
-41.3,-6.725
-41.8,-6.725
-42.3,-6.725
-42.8,-6.725
-43.3,-6.725
-43.8,-6.725
-44.3,-6.725
-44.8,-6.725
-45.3,-6.725
-45.8,-6.725
-46.3,-6.725
-46.8,-6.725
-47.3,-6.725
-47.8,-6.725
-48.3,-6.725
-48.8,-6.725
-49.3,-6.725
-49.8,-6.725
-50.3,-6.725
-50.8,-6.725
-51.3,-6.725
-51.8,-6.725
-52.3,-6.725
-52.8,-6.725
-53.3,-6.725
-53.8,-6.725
-54.3,-6.725
-54.8,-6.725
-55.3,-6.725
-55.8,-6.725
-56.3,-6.725
-56.8,-6.725
-57.3,-6.725
-57.8,-6.725
-58.3,-6.725
-58.8,-6.725
-59.3,-6.725
-59.8,-6.725
-60.3,-6.725
-60.8,-6.725
-61.3,-6.725
-61.8,-6.725
-62.3,-6.725
-62.8,-6.725
-63.3,-6.725
-63.8,-6.725
-64.3,-6.725
-64.8,-6.725
-65.3,-6.725
-65.8,-6.725
-66.3,-6.725
-66.8,-6.725
-67.3,-6.725
-67.8,-6.725
-68.3,-6.725
-68.8,-6.725
-69.3,-6.725
-69.8,-6.725
-70.3,-6.725
-70.8,-6.725
-71.3,-6.725
-71.8,-6.725
-72.3,-6.725
-72.8,-6.725
-73.3,-6.725
-35.3,-7.225
-35.8,-7.225
-36.3,-7.225
-36.8,-7.225
-37.3,-7.225
-37.8,-7.225
-38.3,-7.225
-38.8,-7.225
-39.3,-7.225
-39.8,-7.225
-40.3,-7.225
-40.8,-7.225
-41.3,-7.225
-41.8,-7.225
-42.3,-7.225
-42.8,-7.225
-43.3,-7.225
-43.8,-7.225
-44.3,-7.225
-44.8,-7.225
-45.3,-7.225
-45.8,-7.225
-46.3,-7.225
-46.8,-7.225
-47.3,-7.225
-47.8,-7.225
-48.3,-7.225
-48.8,-7.225
-49.3,-7.225
-49.8,-7.225
-50.3,-7.225
-50.8,-7.225
-51.3,-7.225
-51.8,-7.225
-52.3,-7.225
-52.8,-7.225
-53.3,-7.225
-53.8,-7.225
-54.3,-7.225
-54.8,-7.225
-55.3,-7.225
-55.8,-7.225
-56.3,-7.225
-56.8,-7.225
-57.3,-7.225
-57.8,-7.225
-58.3,-7.225
-58.8,-7.225
-59.3,-7.225
-59.8,-7.225
-60.3,-7.225
-60.8,-7.225
-61.3,-7.225
-61.8,-7.225
-62.3,-7.225
-62.8,-7.225
-63.3,-7.225
-63.8,-7.225
-64.3,-7.225
-64.8,-7.225
-65.3,-7.225
-65.8,-7.225
-66.3,-7.225
-66.8,-7.225
-67.3,-7.225
-67.8,-7.225
-68.3,-7.225
-68.8,-7.225
-69.3,-7.225
-69.8,-7.225
-70.3,-7.225
-70.8,-7.225
-71.3,-7.225
-71.8,-7.225
-72.3,-7.225
-72.8,-7.225
